premise	hypothesis	prediction	label
allow the efficiencies of a low-cost mailstream to be available to all who can use them.	Low-cost mailstreams are always efficient.	2	2
Among runners-up is Boston solo Eleanor Newhoff.	Eleanor Newhoff had trained hard for the Olympic triathlon. 	2	2
that they don't show local	The local that tehy don't show is local sports.	2	2
Marina del Rey is another, where you can also charter a yacht.	One can charter a yacht in Marina del Rey.	1	1
The aggregate effect on the amount of federal government saving is what affects the level of national saving and economic growth.	Federal government saving affects economic growth.	1	1
okay i guess we're on	From your tone of voice, I could only assume that you want to go through with this, right?	2	2
Decline in total expenditure (income) elasticity of demand from 0.36 to 0.25 over same period.	This decline in elasticity of demand is due to changes in trends in the market.	2	2
The other is retrospective and intended to help those who review case study reports to assess the quality of completed case studies.	There is no help given to reviewers of case studies.	0	0
Jon replaced Susan's cloak with a white robe and a head scarf, also quite dirty.	Jon replaced the cloak with a robe. 	1	1
They encourage the view that there's nothing--from Iraqi germ weapons programs to Serbian atrocities--that a few invisible planes can't fix.	There is nothing a few completely visible planes can do to fix this mess.	0	0
COST ASSIGNMENT - A process that identifies costs with activities, outputs, or other cost objects.	Cost assignment identifies nothing 	0	0
First, get the basics right, that is, the blocking and tackling of financial reporting.	The basics are actually difficult to understand for most	2	2
Turns out that Bill got one letter last year that just tore at his heartstrings.	Bill got more than one letter last year that made him feel loved.	2	2
( sums up the millennium coverage from around the globe, and  examines whether the Y2K preparations were a waste.)	(The millennium coverage from around the globe will not be summed up and examined).	0	0
One wag, J., wrote in to ask, Is there a difference between pests and airlines?	No one thinks that pests and airlines are similar.	0	0
'So I assume he hacked into the autopilot and reprogrammed it to-'	I don't think he hacked into anything.	0	0
The following are examples of how teams were used in the agency initiatives we reviewed.	We did not review how teams were used in the initiatives.	0	0
He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.	There were some art theaters that showed silent movies.	1	1
Working groups were established to coordinate training statewide, to focus on the establishment of a statewide website and to continue coordination and sharing in technology matters.	Groups were formed to coordinate training around the state.	1	1
He took the wicked blade as well.	He took the fierce looking blade.	1	1
Figure 1:  Delivery Points to Stops	The first figure illustrates delivery points in part	1	1
With the gap still of landslide proportions in most polls, Dole has been written off, correctly or otherwise, by the pundits.	The pundits had written them off.	1	1
He looks so awfully tired and bored, and yet you feel that underneath he's just like steel, all keen 38 and flashing.	He looks like he needs two days of sleep.	2	2
He felt the off-hand dagger's weight in the small of his back.	The knife was on his back.	1	1
Critics complain that John Frankenheimer's miniseries about the Alabama governor and presidential candidate plays fast and loose with history.	Critics feel Frankenheimer could have included a lot more information about the Alabama governor in the miniseries. 	2	2
We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are successful.	2	2
Per week?	Every day.	0	0
we're thinking about putting one of those in	We are considering setting up one of those inside.	1	1
 "Give it to me." He handed it to her.	She told him to give it to her.	1	1
you know like CODA comes out of your out of your pay and the credit union comes out of your pay so we don't have to do anything there and the rest of it as far as my salary goes i just have it automatically deposited in into our bank	After CODA and credit union, nothing is left of my salary.	0	0
Dublin has international restaurants galore, and the New Irish Cuisine is built upon fresh products of Ireland's seas, rivers, and farms.	New Irish Cuisine is more popular than Dublin's international restaurants. 	2	2
I understand," continued the Coroner deliberately, "that you were sitting reading on the bench just outside the long window of the boudoir. 	"Just outside the window of the boudoir, I understand that you were sitting and reading", continued the Coroner.	1	1
it can't last seven years but it can last five IBM says let's throw it away Leading Edge will say we'll buy it from you	It will definitely last for at least seven years.	0	0
My bottom line is that I would recommend the book to students and colleagues and I hope it does well, despite its anti-intellectual p.c.	If the book wasn't so anti-intellectual, it would be my favorite book.	2	2
At least they're getting stoned first, I rationalized.	It's awful that they get stoned first, I argued. 	0	0
If you still want to join, it might be worked.	You can try to do it if you'd like to join.	1	1
The entire city was surrounded by open countryside with a scattering of small villages.	The whole countryside is scattered with small villages. 	1	1
The city was founded in the third millennium b.c. on the north shore of the bay, and reached a peak during the tenth century b.c. , when it was one of the most important cities in the Ionian Federation the poet Homer was born in S myrna during this period.	It was one of the most important cities due to its natural resources.	2	2
Another unit was added on to the communal dwelling each time a marriage created a new family.	Nothing happens when a marriage creates a new family.	0	0
The notable thing for me about the Left Behind series--beside the fact that few in the secular media have noticed that millions of Americans are busy reading books warning about the imminence of one-world government, mass death, and the return of the Messiah, is that all the Jewish characters are Christian.	There is no reference to religion in the Left Behind series.	0	0
well and i i noticed since we moved down here to Texas my husband is originally from Texas but uh i'm not and that you don't have to have uh such a wide variety of seasonal clothes that you do up north where you have to	I've noticed that since I've moved down to Texas, one doesn't need to have a wide variety of seasonal clothes. 	1	1
I am glad she wasn't, said Jon.	Jon was happy that Jane was not going to the dance. 	2	2
down here it's been it's everybody's got colds and everything because it's cold one day and hot the next day	The temperatures have remained steady and no one is sick here.  	0	0
i wish it was as good over here as it is over there but if you're the	I wish it was as nice in America as it was in Iraq.	2	2
The interior of the palace is very dark, and the use of flash is forbidden, so photographers should think twice before paying the extra fee for bringing in a camera or video equipment.	The interior of the place is extremely bright, so bring a camera and snap a few pictures.	0	0
Corroborating evidence is independent evidence that supports information in the database.	Independent evidence that supports information in the database is called corroborating evidence.	1	1
To the northwest of the chateau, the Grand Trianon palace, surrounded by pleasantly unpompous gardens, was the home of Louis XIV's mistress, Madame de Maintenon, where the aging king increasingly took refuge.	Madame de Maintenon lived in the Grand Trianon palace.	1	1
'Of course.'	Yes.	1	1
The building will also house two smaller volunteer-based programs, the Multi-Cultural Law Center and the Senior Lawyer Volunteer Project.	A couple of groups will work from the location.	1	1
I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh.	The legs are bandaged and are feeling better.	2	2
They drive it around the country in a dilapidated ice-cream truck trying to keep it cool.	The ice cream truck they used and drove around the country was stolen.	2	2
We are concerned that the significant emissions reductions are required too quickly.	We are completely unconcerned about emissions.	0	0
He says men are here.	He told us that the soldiers had arrived. 	2	2
you know things like that But i don't follow any team i check the scores the next morning and i know how everybody's doing and that suffices me But	I have two favorite teams, and I always watch their games.	0	0
I don't know all the answers, fella.	I know everything there is to know about it.	0	0
The Lake District is not the place to come if you want lots of action into the early morning hours.	The Lake District isn't where to go when you want a lot of action.	1	1
GQ editor Art Cooper reportedly received two $1-million loans, one for a Manhattan apartment, the other for a Connecticut farm.	Art Cooper lost his job as GQ editor shortly after.	2	2
Clinton used a floor mop to clean up the dirt he had tracked onto the shiny floor of an elementary school.	Clinton tracked dirt onto the floor of a high school and left without cleaning it.	0	0
David Cope, a professor of music at the University of California at Santa Cruz, claims to have created a 42 nd Mozart symphony.	Music Professor David Cope says he has created Mozart's 42nd symphony.	1	1
To be sure, not all auctions are rip-offs.	Every single auction is a rip-off.	0	0
With an area of just 541 sq km (209 sq miles), it is slightly smaller than the Isle of Man or twice Martha's Vineyard in Massachusetts.	Martha's Vineyard is less than half the size of the Isle of Man.	1	1
HCFA published a Notice of Proposed Rulemaking on March 28, 1997 (62 Fed.	HCFA tried to keep everyone informed about the rules they were making.	2	2
Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...	Emotional habits and dreams are always derived from candy and popcorn.	0	0
But you will find it all right."	You will find it acceptable.	1	1
and uh it may be a Mexican pizza sometimes both together um along with and see it which is really funny too you know normally she goes straight for vegetables except when she's having French fries	French fries very popular in this country.	2	2
Also, the Holy Family are said to have sheltered here on their return from Egypt.	The Holy family spent a total of three days here.	2	2
Despite all the hoopla over a pro-choice advocate's confession that he had lied about the circumstances under which the procedure is generally used, only five lawmakers switched their votes from no to yes.	The lawmakers considered many other factors of the procedure to make their votes.	2	2
First, we can acknowledge, and maybe even do something about, some of the disaffecting fallout from globalization, such as pollution and cultural dislocation.	We can acknowledge there is fallout from globalization around the world.	1	1
Daniel sat buried by the lights, occasionally pressing things.	Daniel sat on the forest floor, surrounded by hyenas. 	0	0
Their supplies scarce, their harvest meager, and their spirit broken, they abandoned the fort in 1858.	Their spirit was never broken despite having no more food.	0	0
Trying Your Luck	This is not a game of luck, but one of pure skill.	0	0
yeah that's the World League	The World League is that.	1	1
Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice.	Czarek was turned away by the group.	0	0
it sure will well good to talk to	That's true, and it was nice chatting.	1	1
any bad stuff so uh i think TI we spend of of of all the major semiconductor firms we probably put safety and environmental on the utmost foremost uh uh first thing we always look at and we probably put more money into the systems and engineering behind the systems than any other firm i know of we eat and sleep the stuff everything we do over here and uh	In fact, our total spending on safety and environmental concerns is nearly half of our annual budget	2	2
The way we try to approach it is to identify every legal problem that a client has.	All of the client's legal problems are supposed to be identified.	1	1
Also, considerable sums are spent by the Postal Service analyzing the costs associated with worksharing, and mailers/competitors incur considerable expense litigating their positions on worksharing before the Postal Rate Commission.	The Postal Service does not participate in worksharing.	0	0
Also, Time claims that for the past year, the FBI has been seeking Robert Jacques, a possible accomplice to Timothy McVeigh in the Oklahoma City bombing.	Everyone knows McVeigh acted alone.	0	0
I have been visiting an old woman in the village, she explained, "and as Lawrence told me you were with Monsieur Poirot I thought I would call for you."	I am good friends with Monsieur Poirot.	2	2
And frankly, the number seems a tad low to me.	The number looks low in my opinion.	1	1
The next morning they ate dry bread, two strips of lean meat, and two eggs fried in animal fat on a skillet of black scorched iron.	They ate a hearty breakfast before heading out for the day.	2	2
Therefore, many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization's business objectives.	The data was generated based on only finance department. 	0	0
Some rooms have balconies.	All of the rooms have balconies off of them.	0	0
Also, under credit reform, the credit subsidy cost is recorded as an outlay when a direct or guaranteed loan is disbursed.	Recording credit subsidy costs as outlays at disbursement makes it easier to keep track of transactions.	2	2
We'll be the first to admit we make mistakes, but most of those are bureaucratic.	We never make mistakes.	0	0
sort of a building season season yeah	Kind of a building period.	1	1
It started with The Wild Bunch : We sexualized violence, we made it beautiful.	The outlook on violence was not affected by The Wild Bunch.	0	0
Jon's defense began to weaken and slow.	Jon began to lose his strength and defense.	1	1
that would be good what'd you say	That would be horrendous. 	0	0
Where would he be today without American commercial know-how?	American know-how is the reason he got to where he is.	1	1
For the upcoming world championships in microhockey, a super-vaccine was to be developed, which would be administered to all participants and audience members.	There was no need for a super-vaccine and, so, one was not being developed.	0	0
huh-uh the the yeah see the Taurus Show has the spoiler kit and the and the big engine and the and stuff like that	The Taurus show had a lot of other auto parts.	2	2
someone else noticed it and i said well i guess that's true and it was somewhat melodio us in other words it wasn't just you know it was really funny	No one noticed and it wasn't funny at all. 	0	0
Today, nothing remains except the foundations.	The rest was destroyed centuries ago.	2	2
External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.	The degree to which conclusions can be applied to objects and persons who weren't subjects in the initial study subject is called External Validity.	1	1
yeah well that's the other thing you know they talk about women leaving the home and going out to work well still taking care of the children is a very important job and and someone's got to do it and be able to do it right and	It is not acceptable for anybody to refuse work in order to take care of children.	0	0
Coast Guard rules establishing bridgeopening schedules).	The Coast Guard is in charge of opening bridges.	1	1
 Many restaurants and cafes welcome children.	Children are not welcome in any of the restaurants or cafes.	0	0
, number of parks or acres of land) rather than in terms of historical cost.	Land owned by parks does not have a value.	0	0
The fine weave and pattern are typical of a Scottish weaver's attention to detail.	Scottish weavers are the best in the world.	2	2
According to this plan, areas that were predominantly Arab the Gaza Strip, the central part of the country, the northwest corner, and the West Bank were to remain under Arab control as Palestine, while the southern Negev Des?Υrt and the northern coastal strip would form the new State of Israel.	We are giving all the land to Israel.	0	0
The technical how-tos for these three strategies will be summarized later in this paper.	There are three strategies discussed in the paper.	1	1
And it needs work too, you know, in case I have to jump out with this parachute from my lil' blue sports plane for real.'	It doesn't need to work.	0	0
'I see.'	I was blind.	0	0
The much-previewed profile of Michael Huffington reveals that he is--surprise, surprise--gay.	Michael Huffington is gay.	1	1
I found her leaning against the bannisters, deadly pale. 	She looked very vibrant as she stood next to the banister.	0	0
Five minutes later she smiled contentedly at her reflection in the glass.	She was not content with how she looked.	0	0
There's one thing, he thought to himself, "they can't go on shooting.	He thought that they could not keep shooting because they were very tired.	2	2
Traditionally, certain designs were reserved for royalty, but today elegant geometric or exuberant, stylized floral patterns are available to all.	Elegant geometric patterns are only available to royalty.	0	0
Perched on a steep slope, high in the Galilean hills, Safed (known also as Tzfat, Tsfat, Sefat, and Zefat) is a delightful village-town of some 22,000 people.	Safed is located in the bottom of a valley.	0	0
If the difference between these two prices is large enough, the mailer could hire a trucking firm, as discussed above.	The mailer has the ability to hire a trucking firm.	1	1
you know we keep a couple hundred dollars um if that much charged on those which isn't too bad it's just your normal	We have no money on there at all	0	0
Enter the realm of shopping malls, where everything you're looking for is available without moving your car.	A shopping mall is a sparse network of stores, that requires a significant amount of travel to go from one store to another.	0	0
Do not talk.	Don't speak until they all leave.	2	2
Dinosaurs poked around the remains; twitchy little scavengers, fighting over scraps.	Dinosaurs were all extinct.	0	0
The bridge would work for a very short time but the stream isn't a clear defense.	The bridge would work indefinitely.	0	0
yeah i know and i did that all through college and it worked too	I did that all through college but it never worked 	0	0
and it's just like college too i think that if a kid goes to college and you can help them fine but i don't think you should pay the whole way	I believe you can help a kid with college, but not pay for the entire thing.	1	1
Beginning with his unsuccessful reconnoitring at Bournemouth, he passed on to his return to London, the buying of the car, the growing anxieties of Tuppence, the call upon Sir James, and the sensational occurrences of the previous night.	He enjoyed being in London. 	2	2
'But if White has any designs at all on living, he'll be as far from Little as he can possibly get by now.'	White is standing right next to them.	0	0
A Newsday story on this incident reports that, Toobin said through a Random House spokesman ...	Toobin spoke through a random House spokesman.	1	1
Corroborating evidence is independent evidence that supports information in the database.	Corroborating evidence is not independent evidence.	0	0
The two programs are currently housed in buildings about a block apart.	The reason for the programs' close proximity to each other is the similarities of their programs.	2	2
It's very hard to believe, for anyone who knows me well, but I was actually speechless for a period, Zelon said.	Zelon was just as talkative as always and never had a moment of speechlessness.	0	0
As a basic guide, the symbols below have been used to indicate high-season rates in Hong Kong dollars, based on double occupancy, with bath or shower.	As you can see, the symbols are of dolphins and octopuses.	2	2
He fell in love with Monica Lewinsky--and even told her he wanted to be with her when he left office.	He hated Monica and wanted nothing to do with her after leaving the office.	0	0
17 "Surely you are not thinking of refusing? 	You can't be thinking of turning it down?	1	1
uh my uh roommate took a voice over course	The roommate was hoping to receive a certification in voice overs. 	2	2
plus i like to dance you know	Plus I love to get my groove on.	2	2
hey it's reaching all over	It is widespread.	1	1
Others love to see it in the middle of the heaviest monsoon, its marble translucent, its image blurred in the rain-stippled water channels of its gardens.	None of the visitors like to see it during the monsoon.	0	0
well what station plays uh that type of music	Which radio station plays that kind of music?	1	1
yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there	There is another layer to the surface.	1	1
2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.	2466 discusses four collections.	1	1
In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.	You can design your own plate or whole dinner service in Hong Kong.	1	1
The Cooper Building forms the heart of L.A.'s Garment District, which is located southeast of central Downtown on Los Angeles Street.	L.A.'s Garment District is located southeast of central Downtown.	1	1
The analysis concluded that, because the rule relaxed the hog cholera-related restrictions imposed on the importation of live swine and prepared pork products from Sonora, Mexico, the proposed rule could have a significant economic impact on a substantial number of small entities in the United States.	The analysis thought the rule would have no impact on US entities at all.	0	0
Can I help you?'	Can i give you assistance?	1	1
 The equipment you need for windsurfing can be hired from the beaches at Tel Aviv (marina), Netanya, Haifa (at Bat Galim beach), Tiberias, and Eilat.	You can hire the equipment needed for windsurfing at Bat Galim Beach. 	1	1
it's just it's the morals of the people which i mean i guess we everybody's responsible for the society but if i had a child that that did things so bad it's not they don't care about anybody these people they're stealing from they're just the big bad rich guy	My kid would get caught stealing if they tried. 	2	2
The truth?	Is that true?	1	1
The recommendation comes from the court's Task Force on Civil Equal Justice Funding, created in 2001 to look for ways to cope with the sparse amount of money available for such cases.	The Task Force on Civil Equal Justice Funding was created in 2001. 	1	1
and you back in you know and or just pull into your spot and uh some you can rent by the year some you can rent daily or nightly or by the week or whatever	Some of them can be rented weekly, for example, this one's $300 per week.	2	2
so you know well a lot of the stuff you hear coming from South Africa now and from West Africa that's considered world music because it's not particularly using certain types of folk styles	You would really like to hear the music from Africa in person.	2	2
Unless the report is restricted by law or regulation, auditors should ensure that copies be made available for public inspection.	This report is most likely restricted by law or regulation and should not be ensured.	2	2
CHAPTER 6: HUMAN CAPITAL	Capital is money, not people.	0	0
We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.	We can completely ignore the implications of the roles on mobility.	0	0
He slowed.	He sped up.	0	0
Apartment...twenty-one B, apparently.	Apparently it was Apartment 21B.	1	1
Classic Castilian restaurant.	The restaurant is based off a classic Castilian style.	1	1
The word itself, tapa, is translated as  lid  and derives from the old custom of offering a bite of food along with a drink, the food being served on a saucer sitting on top of the glass like a lid.	Tapas are only small in order for you to try a lot.	2	2
well i think that's about all my pet stories right now so	My pets are up to many antics, and I'm happy I got to share these. 	2	2
yeah i mean just when uh the they military paid for her education	She originally got into the military in the hopes of securing college funding.	2	2
And here, current history adds a major point.	Current history doesn't add any points to it.	0	0
There is uncertainty associated with all of the numbers presented in this paper due to sampling error and estimation error in econometric estimation procedure used to recover household-level demand functions	The researchers from Harvard cut corners in gathering data for this project.	2	2
hm oh is oh that's great uh-huh do you get the full benefits	That's wonderful. 	1	1
Never trust a Sather, Bork said softly.	Never trust a Sather if you calue your life, Boork whispered.	2	2
you know your children are going you know you've got five children in school instead of somebody that only has one or none and so you they're paying more income tax to pay for your children to go to school it just you know doesn't make sense	It doesn't make sense that people have to pay income tax for other people.	1	1
The riotous revelry roars right past Mardi Gras (Shrove Tuesday) when red-costumed children star as devils, to its peak on Ash Wednesday.	Shrove Tuesday and Mardi Gras have no association with one another.	0	0
and the same is true of the drug hangover you know if you	It's nothing like a drug hangover.	0	0
Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.	The managers stormed out of the meeting because they did not share the same vision for the organization anymore.	0	0
5 percent for educational lay programs relating to law and justice, and other public service programs such as the High School Mock Trial Competition and numerous publications.	Educational lay programs deal with law and justice.	1	1
But in 1799 doom was signaled for the cane monopoly with the appearance of the cheaper sugar beet.	Sugar beets became the prime plant and cane began to decline in 1799.	1	1
Upriver, east of Blois, in a huge densely wooded park surrounded by 31 km (20 miles) of high walls, the brilliant white Ceteau de Cham?­?­bord is the most extravagant of all the royal residences in the Loire Valley.	The woods are full of dangerous creatures, which is why the Ceteau has such high walls.	2	2
um something that i i think that i've noticed that i i have a friend i think if you're going into like uh law or medicine a very particular very specific field even even engineering you can get you can meet a lot of the requirements at a public um institution	Law,medicine or engineering students get better jobs.	2	2
In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.	For almost a decade, the main Republican theme was some form of populism.	1	1
at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there	It seems like it's worth trying to get the oil filter out.	1	1
On Naxos, you can walk through the pretty villages of the Tragea Valley and the foothills of Mount Zas, admiring Byzantine churches and exploring olive groves at your leisure.	There is nothing interesting to see or explore in Naxos.	0	0
Managing better requires that agencies have, and rely upon, sound financial and program information.	Agencies that rely on information based on unsound financial information will have management problems.	2	2
Annette told me how you'd escaped.	The dog told me that you escaped. 	0	0
To provide a common understanding of what is needed and expected in information technology security programs, NIST developed and published Generally Accepted Principles and Practices for Securing Information Technology Systems (Special Pub 800-14) in September 1996.	Prior to the principles and practices being published in 1996, there were many lawsuits. 	2	2
However, SCR installations designed to comply with the NOX SIP Call are generally already into the installation process or, at a minimum, into the engineering phase of the project.	SCR installs have NOX SIP to comply with.	1	1
The man who had once come up with a has-been corner skit, in which, as Zmuda recalls, forgotten performers would be sent out to flounder in front of an audience ...	A very small number of performers ended up being cheered and celebrated by the audience.	2	2
2. Receiving Water Samples	The water samples should be received.	1	1
I awoke looking up at stone lit by fire.	The fire had grown to a giant size.	2	2
and the other thing is the cost it's almost prohibitive to bring it to a dealer	It's cheap to bring it to a dealer.	0	0
More than 100 judges, lawyers and dignitaries were present for the gathering.	Only two people showed up for the gathering.	0	0
yeah well losing is i mean i'm i'm originally from Saint Louis and Saint Louis Cardinals when they were there were uh a mostly a losing team but	The St. Louis Cardinals have always won.	0	0
Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices.	Tourist officers are a good place to visit even if you're an adventurous tourist.	1	1
But the most sustained assault on Orientalism 's premises, and on its prestige, came from the left.	They were attack from the right.	0	0
explanations, and to corroborate findings.	Explanations, and to confirm findings.	1	1
To get a wonderful view of the whole stretch of river, and to stretch your legs in a beautiful parklike setting, climb up to the Ceteau de Marqueyssac and its jardins suspendus (hanging gardens).	You will enjoy stretching your legs as you climb the Ceteau de Marqueyssac.	2	2
yeah now do Indian are Indian foods kosher	Indian foods are kosher now too, I ate indian kosher yesterday.	2	2
U.S. civil legal services delivery system.	The us has a legal services delivery system 	1	1
uh right now we're actually having uh it's getting nice i mean it was in the high fifties today but three and a half weeks ago we had an ice storm	The weather has been getting warmer because the winter has ended.	2	2
The policy succeeded, and I was fortunate to have had the opportunity to make that contribution to my people.	The policy failed and I am glad to have not helped my people.	0	0
course the head bangers i stay away from those entirely	I find the head bangers to be dangerous association and harmful to one's health.	2	2
The church has an even more elaborate Baroque pulpit.	The church has a Barogue style pulpit	1	1
yeah what do you do	What is it that you do?	1	1
i mean i'm i'm sort of strange in a way i'm i'm about twenty pounds overweight and i smoke but my blood pressure is about my last reading was just the other day it was one hundred two over seventy nine	I am fit and healthy. 	0	0
i've even heard of some people being sexually abused	Some people are mentally abused.	2	2
Even as more people are accumulating balances through employer-sponsored 401(k) saving plans and individual retirement accounts, personal saving-which does not reflect gains on existing assets-has declined.	People aren't dedicated enough to grow their own savings.	2	2
Summer boasts long, warm days with strong sunlight and hazy views.	Be sure to keep a shade umbrella with you during the Summer.	2	2
The central porch is still intact, depicting Jesus's entry into Jerusalem, the Crucifixion, and other scenes from the Bible.	The central porch was destroyed long ago.	0	0
But by one measure, it seems to have been static.	They were expecting it to be less stable.	2	2
In the meantime, the philosophy is to seize present-day opportunities in the thriving economy.	The philosophy was to seize opportunities when the economy is doing well.	1	1
'I saw him get aboard myself.	I never saw him get on.	0	0
He unleashed a 16-day reign of terror that left 300 Madeirans dead, stocks of sugar destroyed, and the island plundered.	He unleashed a large debate over the 16-day reign that ended in a peaceful protest.	0	0
Now open political debate flourished, especially in Calcutta where Karl Marx was much appreciated.	Now political debate died down in Calcutta especially, where Karl Marx was hated.	0	0
Participate in the postaward audit for assessing thedegree of success of the acquisition.	Nobody participates in the audit after the award.	0	0
This guide will introduce you to many, but not all, of the popular Aegean Islands.	The guide includes all of the popular Aegean Islands.	0	0
Did Meriwether Lewis really commit suicide, as historians claim?	There is evidence to suggest that Lewis was killed by someone else.	2	2
A portion of the nation's income, in turn, is saved, allowing for additional investment in domestic factories, equipment, and other forms of capital that workers use to produce more goods and services or for investment abroad.	Domestic industry and workers depend greatly on the nation's income.	2	2
For example, NIPA excludes capital transfers, like estate tax receipts, which are recorded as revenue in the unified budget, and investment grants-in-aid to state and local governments, which the unified budget records as outlays.	NIPA does not exclude capital transfers.	0	0
Say, man, don't you know you've been given up for dead? 	You were thought to be dead!	1	1
Hall said that Britain has enjoyed a half-century of pre-eminence in this field of endeavor and that this could now be destroyed.	After half a century, Britain is destined to remain the leader in this field.	0	0
so it's it's changing and the summers are getting hot and the winters are cold but i guess i can live with it	It can get up to 30 degrees Celsius in the summer.	2	2
But anyway, never underestimate the power of hypocrisy.	Hypocrisy doesn't have any power.	0	0
In short, this is a whole new costing area that would need to be undertaken.	In a nutshell, this new costing area would not need to be undertaken.	0	0
The Commission published a summary of its Final Regulatory Flexibility Analysis in the Federal Register on September 12, 1996 (61 Fed.	The Commission did not publish its Final Regulatory Flexibility Analysis in 1996.	0	0
he's a college graduate type guy he's been in all he's an entrepreneur and he gives very practical financial advice about cars very you know not not nothing college level basic stuff his name is Bruce Williams he's on national radio uh i don't know what it would be down there you might want to whatever your radio talk shows are down there he's on that channel it's uh it's five seventy up here	the entrepreneur advises people about the financial aspect of cars	1	1
we have tickets waiting for us	There are tickets we have that are waiting for us.	1	1
Basically, to sell myself.	I will never sell myself.	0	0
If you have any questions about this report, please contact Henry R. Wray, Senior Associate General Counsel, at (202) 512-8581.	Henry R. Wray, Senior Associate General Counsel, can be contacted at (202) 512-8581.	1	1
Specifically, suppose unconstrained competition were allowed but the Postal Service turned out to have sufficient market power in some product areas to allow other products to be priced at or near the level of incremental cost.	The Postal Service has a lot of market power.	1	1
Two natural rock formations are always pointed out on excursions.	There is only one natural rock formation in the area.	0	0
He watched the river flow.	The riverbed was completely dry.	0	0
eligible individuals and the rules that apply if a state does not substantially enforce the statutory requirements.	There are rules that would apply if a state does not enforce the statutory requirements.	1	1
i'm not opposed to it but when its when the time is right it will probably just kind of happen you know	I think I will simply let it happen when the time is right.	1	1
It is worth a visit, if only to see the theater itself.	It's advisable to skip seeing the place entirely.	0	0
Governed by the great bendahara Mutahir with more diplomacy than military force, the sultanate asserted its supremacy over the whole Malay peninsula (except for the northernmost Thai-held Patani region) and across the Melaka Straits to the east coast of Sumatra.	Mutahir was the most excellent diplomat in the history of India.	2	2
I have been visiting an old woman in the village, she explained, "and as Lawrence told me you were with Monsieur Poirot I thought I would call for you."	I don't know anyone in the village. 	0	0
The game of billiards is also hot.	People hate playing billiards.	0	0
Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.	I will make no assumptions about the costs to the postal service.	0	0
There are many homes built into the hillsides; some have been converted into art galleries and shops selling collectibles.	The remaining homes that have not been converted are still home to many locals.	2	2
I understand, mademoiselle, I understand all you feel. 	I am aware, madam, of how you feel.	1	1
and for regular readers who are a bit confused about our schedule (and who can blame them?)	who can blame who is confused about our schedule? They are readers but also occasional visitors.	2	2
We can leave them and let them die, said Thorn.	Thorn told us to leave the children to die. 	2	2
But if Clinton consents, censure and community service can proceed.	The censure and community service are very important.	2	2
Two economists at Virginia Commonwealth University--yes, here are the economists again, but this time making a more plausible argument--studied millions of auto-accident claims filed between 1989 and 1993.	The researchers contacted insurers for the data from 1989 and 1993.	2	2
In a new retrospective, the Vienna modernist (1890-1918) wins critics' grudging respect.	Critics regard the Vienna modernist with zero praise to this day.	0	0
But recently, the speculation has subsided.	The speculation has been reduced recently.	1	1
It was deserved.	it was earnt	1	1
The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.	There was no way to determine the year that Japan was founded in.	0	0
After the purge of foreigners, only a few stayed on, strictly confined to Dejima Island in Nagasaki Bay.	A few foreigners were left free after the purge on foreigners.	0	0
Based on field observations and some discussions with U.S.	It was based on field observations and discussions with the us. 	1	1
This guide will introduce you to many, but not all, of the popular Aegean Islands.	There are some popular Aegean islands that are not introduced in the guide.	1	1
In general, six elements appear  purpose, type of data collected, method of data collection, design, method of data analysis, and reporting.	Breaking it down into 6 elements has always been helpful for students and professionals.	2	2
Just look at the entertainment industry's self-image instead.	Instead, take a look at the entertainment industry and its self image. 	1	1
I'd noticed him more than once and I'd figured it out in my own mind that he was afraid of somebody or something.	I saw him a few times and I thought that he was hiding something and is scared to be found out.	2	2
The Palace of Jahangir is built around a square court with arches.	There is a court with arches in the Palace of Jahangir.	1	1
TIG funds support the Technology Evaluation Project, an initiative of the Legal Aid Society of Cincinnati.	TIG funds are used to support the Technology Evolution project, a legal aid society in Cincinnati. 	1	1
