word;neg_count;pos_count;neg/tot;total
candy it;2;3;0.4;5
every frame;1;1;0.5;2
look;1;2;0.333;3
nimble;1;0;1.0;1
of art;1;1;0.5;2
entertainment out of;1;0;1.0;1
is quite;1;0;1.0;1
lightly;1;2;0.333;3
open;1;0;1.0;1
achieve the;1;0;1.0;1
affection and;1;1;0.5;2
cyber culture;1;0;1.0;1
demonstrate;1;0;1.0;1
hackneyed;4;23;0.148;27
coarse;1;5;0.167;6
crazy as;1;1;0.5;2
kids in;1;1;0.5;2
add up to;2;1;0.667;3
attract;2;0;1.0;2
be wacky;3;5;0.375;8
be warned;2;0;1.0;2
be when;2;0;1.0;2
because he;1;1;0.5;2
empire;1;0;1.0;1
employ;1;0;1.0;1
nearly every scene;3;1;0.75;4
an unimaginative;2;1;0.667;3
an unlikely;1;0;1.0;1
blanket;2;2;0.5;4
chamber;1;5;0.167;6
excellent use;1;2;0.333;3
frustrating and;1;2;0.333;3
arresting;2;6;0.25;8
finesse;1;1;0.5;2
frame of;1;3;0.25;4
his son;2;1;0.667;3
laughs but;1;0;1.0;1
are worth;2;3;0.4;5
backdrop;1;1;0.5;2
david jacobson;1;3;0.25;4
do we;1;1;0.5;2
brian de;3;6;0.333;9
brian de palma;1;0;1.0;1
film so;6;5;0.545;11
acceptable;1;2;0.333;3
acceptance;1;2;0.333;3
also to;1;1;0.5;2
an opportunity to;4;15;0.211;19
an original;1;0;1.0;1
anything more than;1;3;0.25;4
eight legged;5;14;0.263;19
everything is;1;1;0.5;2
it fascinating;2;8;0.2;10
key;2;2;0.5;4
key style;1;2;0.333;3
love in;1;1;0.5;2
not without;2;3;0.4;5
it over;4;9;0.308;13
macdowell;4;3;0.571;7
bother to;1;1;0.5;2
carries the;2;1;0.667;3
contrived and;1;0;1.0;1
dash;1;1;0.5;2
diminishing;1;3;0.25;4
interminably;1;1;0.5;2
it another;2;1;0.667;3
it not particularly;1;5;0.167;6
latest effort is;1;2;0.333;3
like they;1;2;0.333;3
look no;1;5;0.167;6
nelson has;1;0;1.0;1
barrage;1;1;0.5;2
check it out;3;4;0.429;7
check out;2;1;0.667;3
deadpan;6;12;0.333;18
eric schaeffer;1;0;1.0;1
going on here;1;0;1.0;1
had no;2;6;0.25;8
hit theaters;1;1;0.5;2
if not entirely;1;0;1.0;1
is nothing but;1;2;0.333;3
it not that;1;3;0.25;4
killed my father;1;4;0.2;5
louis;1;2;0.333;3
lousy;1;1;0.5;2
me and;1;1;0.5;2
new and;2;0;1.0;2
of bittersweet;1;0;1.0;1
of god;1;0;1.0;1
be impossible to;1;0;1.0;1
chances are;1;3;0.25;4
entertaining enough;1;1;0.5;2
entertaining enough but;1;1;0.5;2
feel of an;1;1;0.5;2
for shoot;1;0;1.0;1
obsession and;1;0;1.0;1
obsession with;1;0;1.0;1
one the;1;0;1.0;1
nicolas;2;13;0.133;15
cost;1;2;0.333;3
doesn know what;1;1;0.5;2
of fatal attraction;1;0;1.0;1
of favor;1;0;1.0;1
of young;2;0;1.0;2
90 minute;1;0;1.0;1
affectation;2;0;1.0;2
army;1;1;0.5;2
as some;2;2;0.5;4
exercise in;5;13;0.278;18
force you;1;2;0.333;3
general;1;4;0.2;5
has enough;1;0;1.0;1
of legal;1;1;0.5;2
plot;1;3;0.25;4
plot and;1;2;0.333;3
and scores;1;0;1.0;1
could make;2;7;0.222;9
daughter from;1;2;0.333;3
motion pictures;2;2;0.5;4
of blood;1;2;0.333;3
price of admission;2;16;0.111;18
excuse;2;2;0.5;4
improved;1;0;1.0;1
inadequate;1;0;1.0;1
movies go;2;6;0.25;8
and funny;1;1;0.5;2
and gainsbourg;1;1;0.5;2
argento;1;2;0.333;3
benefits from;2;4;0.333;6
benign;2;4;0.333;6
but the movie;1;0;1.0;1
dark comedy;1;1;0.5;2
dark comedy is;1;1;0.5;2
ends and the;1;1;0.5;2
good measure;1;2;0.333;3
good movie;1;1;0.5;2
hopes and;2;4;0.333;6
in getting;1;1;0.5;2
is long on;1;4;0.2;5
like mike;1;1;0.5;2
like mike is;1;1;0.5;2
probably should;1;2;0.333;3
45 minutes;2;10;0.167;12
48;1;2;0.333;3
and features;1;0;1.0;1
cloying;1;1;0.5;2
film offers;3;3;0.5;6
funny if;1;3;0.25;4
has crafted an;1;1;0.5;2
lovable;1;0;1.0;1
of the cast;2;3;0.4;5
of the century;1;1;0.5;2
on the level;1;3;0.25;4
hard as;1;0;1.0;1
lampoon;1;1;0.5;2
movies in the;1;0;1.0;1
on truth;1;2;0.333;3
of old;3;17;0.15;20
of the imax;1;2;0.333;3
in favour of;1;1;0.5;2
is double;1;3;0.25;4
its core;1;4;0.2;5
kicking;1;4;0.2;5
little story;1;2;0.333;3
magnificent;1;2;0.333;3
comes from;1;0;1.0;1
considerable brio;1;2;0.333;3
film grows;1;1;0.5;2
first and foremost;1;0;1.0;1
is stunning;1;1;0.5;2
is truly;1;1;0.5;2
magazine;1;3;0.25;4
one thing to;1;2;0.333;3
out to feature;1;0;1.0;1
out what;1;0;1.0;1
almost all;1;3;0.25;4
and burns;1;1;0.5;2
be an;2;7;0.222;9
characters do;2;9;0.182;11
creepy and;1;0;1.0;1
excels in;3;10;0.231;13
its star;1;7;0.125;8
outdated;1;2;0.333;3
pastiche;2;4;0.333;6
combination of the;1;0;1.0;1
dry and;2;0;1.0;2
frank the pug;1;1;0.5;2
it pretends;2;1;0.667;3
makers of;1;0;1.0;1
of psychological horror;3;6;0.333;9
criminal;2;1;0.667;3
disney classic;1;2;0.333;3
dull and;1;0;1.0;1
have found;3;11;0.214;14
journalism;1;2;0.333;3
lumbering;2;3;0.4;5
positive;2;2;0.5;4
entertainment value;1;2;0.333;3
entertains;1;1;0.5;2
finds way;1;2;0.333;3
got fingered;1;3;0.25;4
graham;2;11;0.154;13
it just;2;6;0.25;8
it just as;1;1;0.5;2
negotiate;2;1;0.667;3
actually pretty good;2;3;0.4;5
acute;1;0;1.0;1
end this;1;2;0.333;3
for fun;1;2;0.333;3
it off;1;1;0.5;2
potter;3;15;0.167;18
poverty;1;3;0.25;4
about it is;2;2;0.5;4
awry;1;1;0.5;2
ayurveda;1;1;0.5;2
characters to;1;0;1.0;1
characters who;1;0;1.0;1
has more;1;8;0.111;9
has much to;1;1;0.5;2
history in;2;2;0.5;4
other than to;1;1;0.5;2
other times;1;1;0.5;2
achingly;1;3;0.25;4
actions;1;0;1.0;1
age is;1;0;1.0;1
age movie;1;0;1.0;1
complicated;3;9;0.25;12
dismissed as;2;0;1.0;2
film are;1;0;1.0;1
given;5;8;0.385;13
it apart;2;9;0.182;11
january;1;0;1.0;1
like having;6;1;0.857;7
mid;2;2;0.5;4
only to;1;3;0.25;4
added;2;4;0.333;6
as life;1;2;0.333;3
as little;1;2;0.333;3
as lively;1;0;1.0;1
darkest;1;1;0.5;2
good things;1;2;0.333;3
holes and;1;1;0.5;2
human spirit to;1;0;1.0;1
human tragedy;1;0;1.0;1
long but;1;1;0.5;2
one of;1;3;0.25;4
even think;1;0;1.0;1
going through;3;10;0.231;13
guilty about;1;0;1.0;1
guilty of;1;0;1.0;1
in cinematic;1;5;0.167;6
james bond for;1;2;0.333;3
ah;1;0;1.0;1
blessed;1;0;1.0;1
bore;1;0;1.0;1
bored;1;0;1.0;1
bored to;1;0;1.0;1
bullock;2;2;0.5;4
bullock and grant;1;0;1.0;1
bullock best;1;0;1.0;1
central story;1;2;0.333;3
centuries;1;0;1.0;1
century;1;0;1.0;1
happened to;1;0;1.0;1
intended audience;1;0;1.0;1
intended for;1;0;1.0;1
original nor;1;1;0.5;2
played in the;1;6;0.143;7
played out;1;2;0.333;3
almost no;1;0;1.0;1
happily ever after;1;1;0.5;2
between two;1;0;1.0;1
breathless;1;0;1.0;1
curiously;1;2;0.333;3
engagingly;1;8;0.111;9
eye catching;1;0;1.0;1
gibney;1;4;0.2;5
is so much;1;0;1.0;1
isn very funny;3;2;0.6;5
of fear;1;0;1.0;1
of life that;1;3;0.25;4
only because;1;6;0.143;7
overwhelmed;1;1;0.5;2
calculated;2;1;0.667;3
escapes the;1;4;0.2;5
escapism;1;3;0.25;4
flirts;3;3;0.5;6
from others;3;10;0.231;13
girl is;1;0;1.0;1
mean that;3;2;0.6;5
overall sense of;2;5;0.286;7
perfunctory;1;1;0.5;2
predictability;1;1;0.5;2
himself in the;1;2;0.333;3
hurts;1;0;1.0;1
of the third;1;1;0.5;2
away in;1;2;0.333;3
away in the;1;0;1.0;1
front of the;2;3;0.4;5
in the pantheon;1;0;1.0;1
kidman;1;1;0.5;2
low budget;1;4;0.2;5
most ingenious;2;0;1.0;2
after an;1;0;1.0;1
as all;1;1;0.5;2
impossible;2;0;1.0;2
kingdom;1;1;0.5;2
modem;3;5;0.375;8
and lyrical;1;0;1.0;1
as well be;1;1;0.5;2
cold vacuum of;2;2;0.5;4
considerably more;1;6;0.143;7
downbeat;1;1;0.5;2
even that of;1;1;0.5;2
held my interest;1;0;1.0;1
is successful;1;1;0.5;2
nonexistent;1;0;1.0;1
but ends up;1;3;0.25;4
can get;1;0;1.0;1
geared;1;8;0.111;9
geeks;1;8;0.111;9
hickenlooper has;1;1;0.5;2
hicks;1;0;1.0;1
hitler;1;0;1.0;1
humanity;1;1;0.5;2
legged;1;0;1.0;1
little too;1;0;1.0;1
hood;3;3;0.5;6
hook;1;1;0.5;2
paean;2;4;0.333;6
and visual;1;1;0.5;2
cameo;1;0;1.0;1
consuming;1;4;0.2;5
cup;1;0;1.0;1
figure out what;1;10;0.091;11
focus on the;1;2;0.333;3
in the kind;2;2;0.5;4
it big;2;5;0.286;7
it bit;2;1;0.667;3
named;2;1;0.667;3
namely;2;1;0.667;3
or pretentious;2;4;0.333;6
demonstration of the;3;21;0.125;24
funk;1;0;1.0;1
intelligent film;1;0;1.0;1
is weirdly;1;4;0.2;5
it paints;2;4;0.333;6
about every;1;4;0.2;5
as monumental;1;0;1.0;1
even steven;1;3;0.25;4
facet of;2;2;0.5;4
has no;1;0;1.0;1
nothing short of;1;0;1.0;1
odd;1;1;0.5;2
its faults;1;7;0.125;8
miami vice;1;1;0.5;2
nash is;1;2;0.333;3
by comparison;1;1;0.5;2
its sleeve;1;2;0.333;3
an intermittently;2;2;0.5;4
an intimate;1;1;0.5;2
has arrived;1;0;1.0;1
hilarious and;2;1;0.667;3
imaginative and;1;0;1.0;1
margarita happy hour;1;2;0.333;3
miss it;1;0;1.0;1
and community;2;2;0.5;4
and lot more;1;0;1.0;1
best possible;1;3;0.25;4
best seller;1;0;1.0;1
but no;2;0;1.0;2
chemistry between the;5;16;0.238;21
decasia;2;2;0.5;4
developments;1;0;1.0;1
flattens;1;1;0.5;2
half of;1;0;1.0;1
in world of;1;0;1.0;1
it comes;1;0;1.0;1
light years;1;9;0.1;10
mail;1;4;0.2;5
minority;1;2;0.333;3
circle;1;3;0.25;4
debut of;1;2;0.333;3
happened;1;2;0.333;3
here yet;1;0;1.0;1
jet;1;3;0.25;4
mature;1;0;1.0;1
may never;1;0;1.0;1
numerous;1;0;1.0;1
and ability;2;3;0.4;5
long as you;1;0;1.0;1
may not have;1;1;0.5;2
preciousness;1;0;1.0;1
allowing;2;2;0.5;4
but wasn;1;1;0.5;2
does have its;2;0;1.0;2
facial;1;0;1.0;1
kid stays;2;11;0.154;13
lackluster;4;4;0.5;8
middling;2;0;1.0;2
about the movie;1;1;0.5;2
access to;2;8;0.2;10
compare to the;1;3;0.25;4
effects the;1;0;1.0;1
efficient;1;0;1.0;1
esteem;1;1;0.5;2
for director neil;1;0;1.0;1
for disney;1;0;1.0;1
hayek;1;0;1.0;1
impact of;1;0;1.0;1
in the most;3;4;0.429;7
is sure to;1;0;1.0;1
it fails to;1;1;0.5;2
lame;2;0;1.0;2
mainstream;1;0;1.0;1
never lets;1;0;1.0;1
only come;1;6;0.143;7
only comes;1;2;0.333;3
and brutal;1;0;1.0;1
as funny nor;1;0;1.0;1
crazy;1;0;1.0;1
heart you;1;0;1.0;1
jumble of;2;2;0.5;4
as possible;1;4;0.2;5
as powerful;1;0;1.0;1
be desired;2;7;0.222;9
be dismissed;1;0;1.0;1
can come;1;1;0.5;2
heavy handed and;1;9;0.1;10
his character;1;10;0.091;11
international;1;2;0.333;3
mount;1;1;0.5;2
deserves the;2;1;0.667;3
be engaging;1;1;0.5;2
pleaser that;1;1;0.5;2
and provocative;1;0;1.0;1
been titled;2;3;0.4;5
death;1;0;1.0;1
excited about;1;1;0.5;2
have heart;1;0;1.0;1
above its;1;0;1.0;1
and social;2;6;0.25;8
fame;1;1;0.5;2
film with;1;5;0.167;6
fine but;1;2;0.333;3
pokemon 4ever is;3;16;0.158;19
it should be;1;1;0.5;2
jim brown;1;0;1.0;1
jimmy;1;0;1.0;1
brings an;2;0;1.0;2
certain;1;0;1.0;1
good yarn;1;2;0.333;3
influences;1;1;0.5;2
ability of the;3;3;0.5;6
amy and;1;0;1.0;1
both visually;1;1;0.5;2
combined;3;10;0.231;13
last 20 minutes;1;1;0.5;2
lopez;1;6;0.143;7
needed to;1;1;0.5;2
not much else;1;0;1.0;1
and the plot;1;1;0.5;2
cryin out;1;0;1.0;1
existing;1;6;0.143;7
flawed film but;2;11;0.154;13
is out;1;3;0.25;4
it very;1;1;0.5;2
minutes which;1;0;1.0;1
asks us;1;3;0.25;4
by the end;1;0;1.0;1
fleeting;1;0;1.0;1
had been;1;0;1.0;1
inane that;1;0;1.0;1
inappropriate;1;0;1.0;1
infantile;1;0;1.0;1
infatuated;1;0;1.0;1
infectious;1;0;1.0;1
of the other;3;8;0.273;11
as often;3;7;0.3;10
closely;2;4;0.333;6
comes up;1;3;0.25;4
conspiracy;1;1;0.5;2
easily the most;1;7;0.125;8
herself;1;1;0.5;2
off in;1;10;0.091;11
and two;1;2;0.333;3
comedy that tries;1;0;1.0;1
for the small;1;3;0.25;4
it time;1;2;0.333;3
it to;1;2;0.333;3
know if;1;1;0.5;2
casual;1;1;0.5;2
director jay russell;1;0;1.0;1
element of surprise;1;1;0.5;2
feed;2;1;0.667;3
ice;2;2;0.5;4
inability;1;2;0.333;3
isn scary;1;1;0.5;2
it in;1;2;0.333;3
more likely to;1;0;1.0;1
narc;1;1;0.5;2
obstacles;1;0;1.0;1
obvious;1;0;1.0;1
of the moment;2;4;0.333;6
and about;2;1;0.667;3
even his;1;0;1.0;1
hook ups;1;1;0.5;2
much the;1;1;0.5;2
102 minute;1;1;0.5;2
and intelligent;2;1;0.667;3
history;1;5;0.167;6
not at all;1;1;0.5;2
of dark;1;1;0.5;2
of thousands of;1;1;0.5;2
personal velocity;1;1;0.5;2
after another;1;0;1.0;1
after being;1;0;1.0;1
changing lanes;1;2;0.333;3
frame;1;4;0.2;5
ghost story;1;5;0.167;6
it may not;1;2;0.333;3
object;1;5;0.167;6
pluto nash;1;1;0.5;2
desperation;1;0;1.0;1
emerges in the;3;11;0.214;14
eminently;1;1;0.5;2
in nearly;1;1;0.5;2
is the sense;1;9;0.1;10
looks like;1;0;1.0;1
most part the;1;8;0.111;9
out all;1;0;1.0;1
get you;1;3;0.25;4
honed;1;3;0.25;4
loved the;1;8;0.111;9
is at;1;1;0.5;2
lifeless;1;6;0.143;7
of soap;1;1;0.5;2
of soap opera;1;0;1.0;1
but more;1;0;1.0;1
but more often;1;0;1.0;1
day is;3;2;0.6;5
get an;1;0;1.0;1
on the;2;3;0.4;5
capacity;1;1;0.5;2
carved from;3;5;0.375;8
he seems;1;7;0.125;8
implied;1;1;0.5;2
maelstrom;1;1;0.5;2
of song;1;0;1.0;1
an unflappable;1;0;1.0;1
and affection;1;1;0.5;2
as one;1;1;0.5;2
austere;1;6;0.143;7
fraternity;1;1;0.5;2
from one;1;0;1.0;1
hip;2;4;0.333;6
hip hop;1;3;0.25;4
in black;1;7;0.125;8
in the head;1;0;1.0;1
it full of;1;1;0.5;2
its otherwise;1;4;0.2;5
lawrence;2;1;0.667;3
of revolution;1;1;0.5;2
pressed;1;1;0.5;2
and has;1;2;0.333;3
and thought;2;2;0.5;4
as thought;1;2;0.333;3
de force;1;3;0.25;4
hoffman performance;1;0;1.0;1
in the parking;1;1;0.5;2
laughs and;1;0;1.0;1
arguing;3;12;0.2;15
arguments;1;2;0.333;3
class reunion;1;2;0.333;3
classic;1;2;0.333;3
confusion and;1;3;0.25;4
is most;1;1;0.5;2
new film;2;3;0.4;5
padre amaro;1;2;0.333;3
flicks;1;3;0.25;4
grew up;1;3;0.25;4
adorable;1;1;0.5;2
and love;1;0;1.0;1
city where;1;4;0.2;5
has it;1;5;0.167;6
it is;1;0;1.0;1
moments to;1;0;1.0;1
moving film;1;4;0.2;5
affectionate;1;6;0.143;7
away is;1;0;1.0;1
balance;1;1;0.5;2
conviction to;2;9;0.182;11
diane;1;0;1.0;1
even hint of;1;0;1.0;1
is predictable;1;2;0.333;3
lets you;2;0;1.0;2
ming liang;1;0;1.0;1
movie experience it;1;0;1.0;1
precarious;1;0;1.0;1
ability to;1;1;0.5;2
become good;2;4;0.333;6
de sade;1;0;1.0;1
de su;1;0;1.0;1
deal;1;0;1.0;1
deal of;1;0;1.0;1
depressing;1;0;1.0;1
excess;1;1;0.5;2
fresh again;1;1;0.5;2
memorable film;1;1;0.5;2
amazingly;1;6;0.143;7
ambiguous;1;4;0.2;5
and offer;1;0;1.0;1
arrive;1;0;1.0;1
cattaneo;1;0;1.0;1
characters are more;1;3;0.25;4
elements and;1;2;0.333;3
inevitable;1;1;0.5;2
less the;1;3;0.25;4
college student;1;0;1.0;1
go where;4;1;0.8;5
is derivative;2;0;1.0;2
little to;1;0;1.0;1
men;1;1;0.5;2
and sophistication;3;3;0.5;6
comedy;2;3;0.4;5
contemporaries;1;2;0.333;3
deeper;1;3;0.25;4
episodes;1;0;1.0;1
goldmember;1;3;0.25;4
good one;1;0;1.0;1
good or;1;0;1.0;1
lush;2;2;0.5;4
lust;1;1;0.5;2
machismo;1;2;0.333;3
macy;1;2;0.333;3
most thoughtful;1;2;0.333;3
move;1;1;0.5;2
on the characters;1;2;0.333;3
original and;1;2;0.333;3
historic;1;3;0.25;4
historical;1;1;0.5;2
idiosyncratic;1;3;0.25;4
just one;1;0;1.0;1
movie where;2;3;0.4;5
other hand;1;5;0.167;6
advantage of its;2;6;0.25;8
adventure for all;1;2;0.333;3
arrives;1;2;0.333;3
as terrible;2;0;1.0;2
as that;1;0;1.0;1
boys is;1;0;1.0;1
conveys the;1;9;0.1;10
impostor;1;0;1.0;1
made in;1;1;0.5;2
mother and;1;6;0.143;7
at times the;1;0;1.0;1
comedy about;1;0;1.0;1
in real life;1;1;0.5;2
it might;1;3;0.25;4
just the sort;1;0;1.0;1
just to;1;0;1.0;1
of all;2;1;0.667;3
otherwise;1;1;0.5;2
otherwise good;1;1;0.5;2
at every turn;1;2;0.333;3
and maggie gyllenhaal;1;0;1.0;1
at the core;2;4;0.333;6
at the edge;1;1;0.5;2
but when it;1;1;0.5;2
in here;1;8;0.111;9
lost in the;2;6;0.25;8
lost its;1;0;1.0;1
moldy and;1;1;0.5;2
of good performances;2;0;1.0;2
of stars;1;3;0.25;4
on as;3;11;0.214;14
on cable;1;1;0.5;2
ought to be;1;2;0.333;3
80 minutes but;1;6;0.143;7
84;1;4;0.2;5
gheorghiu;1;0;1.0;1
kiddies;2;2;0.5;4
los;1;8;0.111;9
loser;1;0;1.0;1
an engrossing portrait;1;2;0.333;3
as far;2;1;0.667;3
constraints of;1;0;1.0;1
creepy about;2;0;1.0;2
faces;1;0;1.0;1
fragmentary;1;0;1.0;1
freaks;1;2;0.333;3
grating and;1;0;1.0;1
jerk;1;1;0.5;2
literally and;1;0;1.0;1
lot better if;1;0;1.0;1
performances are all;2;1;0.667;3
ending feels;1;1;0.5;2
ending has;1;0;1.0;1
in business;2;11;0.154;13
is perhaps;1;9;0.1;10
is played;1;2;0.333;3
mysterious and;1;2;0.333;3
mystery;1;2;0.333;3
nothing at all;1;4;0.2;5
on the run;1;1;0.5;2
depressingly;1;0;1.0;1
derivative horror film;2;4;0.333;6
and no;2;3;0.4;5
calm;2;1;0.667;3
entertainment and;2;0;1.0;2
entertainment but;2;0;1.0;2
flick about;1;0;1.0;1
generating;2;2;0.5;4
is pretty much;2;0;1.0;2
is pure;2;0;1.0;2
assault;1;1;0.5;2
empathetic;1;1;0.5;2
few chuckles;1;1;0.5;2
from anything;2;3;0.4;5
music of;1;1;0.5;2
of bright;1;5;0.167;6
of british;1;0;1.0;1
outrageous;1;5;0.167;6
beautiful and;1;1;0.5;2
knockaround;2;3;0.4;5
knockaround guys;2;0;1.0;2
of pluto nash;1;1;0.5;2
age;1;0;1.0;1
disgust;1;1;0.5;2
for the material;1;1;0.5;2
impressive;1;1;0.5;2
just no;1;1;0.5;2
las;1;1;0.5;2
laser;1;1;0.5;2
last;1;1;0.5;2
movie so;1;1;0.5;2
onto the;1;0;1.0;1
onto the screen;1;0;1.0;1
out the;1;1;0.5;2
better title;1;1;0.5;2
fascinated by;1;1;0.5;2
fun in;1;0;1.0;1
option;1;6;0.143;7
or;1;0;1.0;1
earth;1;1;0.5;2
makes even;1;1;0.5;2
man from elysian;2;4;0.333;6
of carefully;1;1;0.5;2
portuguese;1;6;0.143;7
be the only;1;1;0.5;2
be the worst;1;1;0.5;2
by the film;1;1;0.5;2
characters who are;1;0;1.0;1
chills and;1;3;0.25;4
chilly;1;3;0.25;4
moments but;1;1;0.5;2
moments but it;1;1;0.5;2
and without;1;0;1.0;1
as if the;1;3;0.25;4
delivers its;1;2;0.333;3
fine line;1;1;0.5;2
jumble;1;0;1.0;1
marked;2;3;0.4;5
mixed up;1;0;1.0;1
payback;1;0;1.0;1
and wonder;1;1;0.5;2
education and;2;4;0.333;6
is little tired;1;4;0.2;5
it made me;1;5;0.167;6
misdemeanor;1;0;1.0;1
and co writer;1;1;0.5;2
and think;2;5;0.286;7
for the way;2;1;0.667;3
here yet another;1;1;0.5;2
led;1;8;0.111;9
left is;1;0;1.0;1
mire of;1;0;1.0;1
of the script;1;1;0.5;2
and full of;1;0;1.0;1
do much;2;0;1.0;2
his two;1;6;0.143;7
his vision;1;0;1.0;1
hitchcock;1;3;0.25;4
hitchcockian;1;0;1.0;1
is hard;2;4;0.333;6
ludicrous and;1;0;1.0;1
of money;2;2;0.5;4
guts to;1;1;0.5;2
and involving;1;2;0.333;3
attentive;1;0;1.0;1
good that;1;1;0.5;2
hours the;1;1;0.5;2
magic and;1;1;0.5;2
blend;1;0;1.0;1
is akin to;1;0;1.0;1
it feel;1;1;0.5;2
able to;1;0;1.0;1
characters or;1;0;1.0;1
ghetto;1;0;1.0;1
given the;1;0;1.0;1
half an;2;7;0.222;9
just didn;1;1;0.5;2
bodies;1;2;0.333;3
bodily;1;0;1.0;1
director roger michell;1;1;0.5;2
action to;1;0;1.0;1
an equally;1;1;0.5;2
and hollywood;1;0;1.0;1
can this;1;1;0.5;2
crystal and de;1;0;1.0;1
fans of the;1;0;1.0;1
love for;1;0;1.0;1
mysteries of;1;0;1.0;1
easy film;1;0;1.0;1
easy to;1;0;1.0;1
interesting look;1;0;1.0;1
and reveals;1;0;1.0;1
bolstered by;1;3;0.25;4
equal of;1;1;0.5;2
half an hour;1;1;0.5;2
it funny;1;1;0.5;2
manhattan;1;4;0.2;5
movies but it;1;2;0.333;3
movies ever;1;1;0.5;2
moving portrait;1;0;1.0;1
belief;1;0;1.0;1
believability;1;0;1.0;1
feel more like;1;2;0.333;3
in bad;3;7;0.3;10
no easy;1;11;0.083;12
no less;3;10;0.231;13
perspectives;1;0;1.0;1
bumpy;1;1;0.5;2
can tell;2;6;0.25;8
delivers the goods;2;9;0.182;11
is gone;1;7;0.125;8
and send it;1;1;0.5;2
her best;1;0;1.0;1
jolie and;4;7;0.364;11
much to recommend;1;2;0.333;3
nearly 21;1;1;0.5;2
out to be;1;0;1.0;1
again that;1;1;0.5;2
barbara;1;0;1.0;1
bewilderingly;1;5;0.167;6
chemistry or;1;0;1.0;1
not always;1;0;1.0;1
one can;1;2;0.333;3
continues;1;0;1.0;1
continues to;1;0;1.0;1
director barry;1;0;1.0;1
director burr;1;0;1.0;1
earnest so;1;0;1.0;1
earnestness;1;0;1.0;1
have been called;1;0;1.0;1
made film that;1;4;0.2;5
made for;1;2;0.333;3
most vital;1;0;1.0;1
movie bogs down;1;0;1.0;1
movie business;1;0;1.0;1
problem with;1;1;0.5;2
be good;1;0;1.0;1
discerned;1;1;0.5;2
emotions;3;0;1.0;3
matter what;1;0;1.0;1
ode to;1;5;0.167;6
politics and;1;1;0.5;2
deal with;2;6;0.25;8
end an;2;4;0.333;6
end as;1;2;0.333;3
for story;1;4;0.2;5
for taking;1;1;0.5;2
hospital;2;0;1.0;2
an empty;1;1;0.5;2
aside the;1;0;1.0;1
attached to;1;2;0.333;3
charming and funny;4;10;0.286;14
find new;1;1;0.5;2
novel by;1;2;0.333;3
patient and;1;1;0.5;2
and the love;1;1;0.5;2
characters you;1;9;0.1;10
how can;1;0;1.0;1
minutes or;1;0;1.0;1
new to;1;0;1.0;1
new version;1;0;1.0;1
of these characters;1;0;1.0;1
of these films;1;0;1.0;1
even though the;1;4;0.2;5
even with;1;2;0.333;3
holm;1;0;1.0;1
late in the;1;0;1.0;1
loneliness and;1;1;0.5;2
lot like;1;0;1.0;1
manage to be;1;7;0.125;8
movie is more;1;0;1.0;1
be enjoyed;2;12;0.143;14
be entertained;1;2;0.333;3
appears to be;1;0;1.0;1
are complex;1;1;0.5;2
break your heart;1;3;0.25;4
coasting;1;3;0.25;4
dogtown;1;1;0.5;2
from seeming;2;4;0.333;6
from start;1;0;1.0;1
make;2;1;0.667;3
make it more;1;10;0.091;11
man from;1;2;0.333;3
an exciting;1;0;1.0;1
bravery;1;3;0.25;4
derrida;1;1;0.5;2
it nice to;1;0;1.0;1
it seem;1;1;0.5;2
john;1;5;0.167;6
and exceedingly;1;0;1.0;1
buy the;1;0;1.0;1
cinema that;1;0;1.0;1
effective in;2;2;0.5;4
failing to;1;0;1.0;1
in film that;1;1;0.5;2
in order;1;1;0.5;2
in search of;1;2;0.333;3
in these;1;4;0.2;5
it promises;1;1;0.5;2
passer;1;0;1.0;1
burns;1;1;0.5;2
composed;2;10;0.167;12
devoid of wit;1;0;1.0;1
exceptionally well;1;0;1.0;1
funnier than;1;0;1.0;1
hits its;1;3;0.25;4
look back;1;0;1.0;1
nair doesn;1;0;1.0;1
of it is;1;6;0.143;7
and even;2;3;0.4;5
and loss;1;0;1.0;1
bogs down;1;6;0.143;7
bogus;1;1;0.5;2
cast but;1;11;0.083;12
director peter jackson;1;2;0.333;3
giggles;1;8;0.111;9
inventive;1;0;1.0;1
palatable;1;0;1.0;1
of mostly martha;1;0;1.0;1
entry into;2;1;0.667;3
envelope;2;1;0.667;3
impeccable;1;2;0.333;3
is lot more;1;1;0.5;2
master;2;1;0.667;3
and pick;1;0;1.0;1
buddy movie;1;3;0.25;4
doesn know;1;0;1.0;1
example of the;2;16;0.111;18
film simple;1;1;0.5;2
nothing left;2;3;0.4;5
or better;1;0;1.0;1
pop music;2;5;0.286;7
no;1;2;0.333;3
as many;1;3;0.25;4
can say for;2;3;0.4;5
it mildly;1;0;1.0;1
of mushy;1;0;1.0;1
overlook;1;0;1.0;1
character study is;1;0;1.0;1
choices;1;1;0.5;2
involved in;1;0;1.0;1
it appears to;1;1;0.5;2
old;2;0;1.0;2
beat;1;1;0.5;2
blame;2;6;0.25;8
city;2;1;0.667;3
for cryin out;1;1;0.5;2
good but it;1;8;0.111;9
hashiguchi;1;0;1.0;1
his life;1;0;1.0;1
accuracy;1;1;0.5;2
be comedy;2;2;0.5;4
al;1;0;1.0;1
and grant;1;0;1.0;1
and great;1;0;1.0;1
as kind;1;1;0.5;2
but far;1;2;0.333;3
